,IncGeo_BoroughName,WardName,Count
72,BRENT,DUDDEN HILL,1390
73,BRENT,FRYENT,926
74,BRENT,HARLESDEN,2174
75,BRENT,KENSAL GREEN,1528
76,BRENT,KENTON,777
77,BRENT,KILBURN,2618
78,BRENT,MAPESBURY,1521
79,BRENT,NORTHWICK PARK,1245
80,BRENT,PRESTON,1507
81,BRENT,QUEENS PARK,1387
82,BRENT,QUEENSBURY,1229
83,BRENT,STONEBRIDGE,4144
84,BRENT,SUDBURY,1069
85,BRENT,TOKYNGTON,2013
86,BRENT,WELSH HARP,1296
87,BRENT,WEMBLEY CENTRAL,1857
88,BRENT,WILLESDEN GREEN,2294
89,BROMLEY,BICKLEY,1239
90,BROMLEY,BIGGIN HILL,897
91,BROMLEY,BROMLEY COMMON AND KESTON,1523
92,BROMLEY,BROMLEY TOWN,3421
93,BROMLEY,CHELSFIELD AND PRATTS BOTTOM,841
94,BROMLEY,CHISLEHURST,1720
95,BROMLEY,CLOCK HOUSE,1487
96,BROMLEY,COPERS COPE,1708
97,BROMLEY,CRAY VALLEY EAST,3258
98,BROMLEY,CRAY VALLEY WEST,2281
99,BROMLEY,CRYSTAL PALACE,2002
100,BROMLEY,DARWIN,741
101,BROMLEY,FARNBOROUGH AND CROFTON,1376
102,BROMLEY,HAYES AND CONEY HALL,1198
103,BROMLEY,KELSEY AND EDEN PARK,1760
104,BROMLEY,MOTTINGHAM AND CHISLEHURST NORTH,1120
105,BROMLEY,ORPINGTON,1900
106,BROMLEY,PENGE AND CATOR,2271
107,BROMLEY,PETTS WOOD AND KNOLL,713
108,BROMLEY,PLAISTOW AND SUNDRIDGE,1262
109,BROMLEY,SHORTLANDS,676
110,BROMLEY,WEST WICKHAM,820
111,CAMDEN,BELSIZE,2024
112,CAMDEN,BLOOMSBURY,8684
113,CAMDEN,CAMDEN TOWN WITH PRIMROSE HILL,3119
114,CAMDEN,CANTELOWES,2320
115,CAMDEN,FORTUNE GREEN,1575
116,CAMDEN,FROGNAL AND FITZJOHNS,1829
117,CAMDEN,GOSPEL OAK,1449
118,CAMDEN,HAMPSTEAD TOWN,4462
119,CAMDEN,HAVERSTOCK,2585
120,CAMDEN,HIGHGATE,2088
121,CAMDEN,HOLBORN AND COVENT GARDEN,9591
122,CAMDEN,KENTISH TOWN,2452
123,CAMDEN,KILBURN,2858
124,CAMDEN,KING'S CROSS,3747
125,CAMDEN,REGENT'S PARK,4774
126,CAMDEN,ST. PANCRAS AND SOMERS TOWN,3963
127,CAMDEN,SWISS COTTAGE,2306
128,CAMDEN,WEST HAMPSTEAD,2275
129,CITY OF LONDON,ALDERSGATE,317
130,CITY OF LONDON,ALDGATE,571
131,CITY OF LONDON,BASSISHAW,258
132,CITY OF LONDON,BILLINGSGATE,349
133,CITY OF LONDON,BISHOPSGATE,1097
134,CITY OF LONDON,BREAD STREET,293
135,CITY OF LONDON,BRIDGE,379
136,CITY OF LONDON,BROAD STREET,519
137,CITY OF LONDON,CANDLEWICK,565
138,CITY OF LONDON,CASTLE BAYNARD,1499
139,CITY OF LONDON,CHEAP,407
140,CITY OF LONDON,COLEMAN STREET,703
141,CITY OF LONDON,CORDWAINER,499
142,CITY OF LONDON,CORNHILL,452
143,CITY OF LONDON,CRIPPLEGATE,516
144,CITY OF LONDON,DOWGATE,404
145,CITY OF LONDON,FARRINGDON WITHIN,1097
146,CITY OF LONDON,FARRINGDON WITHOUT,1187
147,CITY OF LONDON,LANGBOURN,524
148,CITY OF LONDON,LIME STREET,467
149,CITY OF LONDON,PORTSOKEN,410
150,CITY OF LONDON,QUEENHITHE,205
151,CITY OF LONDON,TOWER,782
152,CITY OF LONDON,VINTRY,383
153,CITY OF LONDON,WALBROOK,529
154,CROYDON,ADDISCOMBE,1058
155,CROYDON,ADDISCOMBE EAST,324
156,CROYDON,ADDISCOMBE WEST,452
157,CROYDON,ASHBURTON,931
158,CROYDON,BENSHAM MANOR,1498
159,CROYDON,BROAD GREEN,3410
160,CROYDON,COULSDON EAST,660
161,CROYDON,COULSDON TOWN,224
162,CROYDON,COULSDON WEST,806
163,CROYDON,CROHAM,969
164,CROYDON,CRYSTAL PALACE & UPPER NORWOOD,450
165,CROYDON,FAIRFIELD,5122
166,CROYDON,FIELDWAY,1483
167,CROYDON,HEATHFIELD,958
168,CROYDON,KENLEY,882
169,CROYDON,NEW ADDINGTON,1039
170,CROYDON,NEW ADDINGTON NORTH,500
171,CROYDON,NEW ADDINGTON SOUTH,395
172,CROYDON,NORBURY,1272
173,CROYDON,NORBURY & POLLARDS HILL,386
174,CROYDON,NORBURY PARK,227
175,CROYDON,OLD COULSDON,217
176,CROYDON,PARK HILL & WHITGIFT,218
177,CROYDON,PURLEY,1231
178,CROYDON,PURLEY & WOODCOTE,579
179,CROYDON,PURLEY OAKS & RIDDLESDOWN,182
180,CROYDON,SANDERSTEAD,791
181,CROYDON,SELHURST,2379
182,CROYDON,SELSDON & ADDINGTON VILLAGE,227
183,CROYDON,SELSDON AND BALLARDS,557
184,CROYDON,SELSDON VALE & FORESTDALE,166
185,CROYDON,SHIRLEY,695
186,CROYDON,SHIRLEY NORTH,293
187,CROYDON,SHIRLY SOUTH,245
188,CROYDON,SOUTH CROYDON,528
189,CROYDON,SOUTH NORWOOD,2284
190,CROYDON,THORNTON HEATH,1944
191,CROYDON,UPPER NORWOOD,1201
192,CROYDON,WADDON,2855
193,CROYDON,WEST THORNTON,2334
194,CROYDON,WOODSIDE,1744
195,EALING,ACTON CENTRAL,2270
196,EALING,CLEVELAND,1542
197,EALING,DORMERS WELLS,1470
198,EALING,EALING BROADWAY,2490
199,EALING,EALING COMMON,1593
200,EALING,EAST ACTON,3876
201,EALING,ELTHORNE,1926
202,EALING,GREENFORD BROADWAY,1773
203,EALING,GREENFORD GREEN,1532
204,EALING,HANGER HILL,1421
205,EALING,HOBBAYNE,1188
206,EALING,LADY MARGARET,649
207,EALING,NORTH GREENFORD,1044
208,EALING,NORTHFIELD,801
209,EALING,NORTHOLT MANDEVILLE,1741
210,EALING,NORTHOLT WEST END,2222
211,EALING,NORWOOD GREEN,2411
212,EALING,PERIVALE,1317
213,EALING,SOUTH ACTON,2914
214,EALING,SOUTHALL BROADWAY,1802
215,EALING,SOUTHALL GREEN,1287
216,EALING,SOUTHFIELD,1240
217,EALING,WALPOLE,1482
218,ENFIELD,BOWES,1229
219,ENFIELD,BUSH HILL PARK,1068
220,ENFIELD,CHASE,2203
221,ENFIELD,COCKFOSTERS,1558
222,ENFIELD,EDMONTON GREEN,3646
223,ENFIELD,ENFIELD HIGHWAY,2617
224,ENFIELD,ENFIELD LOCK,1810
225,ENFIELD,GRANGE,1229
226,ENFIELD,HASELBURY,1625
227,ENFIELD,HIGHLANDS,2017
228,ENFIELD,JUBILEE,1430
229,ENFIELD,LOWER EDMONTON,1603
230,ENFIELD,PALMERS GREEN,1356
231,ENFIELD,PONDERS END,2361
232,ENFIELD,SOUTHBURY,2454
233,ENFIELD,SOUTHGATE,1509
234,ENFIELD,SOUTHGATE GREEN,1229
235,ENFIELD,TOWN,1170
236,ENFIELD,TURKEY STREET,1478
237,ENFIELD,UPPER EDMONTON,3227
238,ENFIELD,WINCHMORE HILL,900
239,GREENWICH,ABBEY WOOD,1895
240,GREENWICH,BLACKHEATH WESTCOMBE,1747
241,GREENWICH,CHARLTON,1576
242,GREENWICH,COLDHARBOUR AND NEW ELTHAM,995
243,GREENWICH,ELTHAM NORTH,1207
244,GREENWICH,ELTHAM SOUTH,1678
245,GREENWICH,ELTHAM WEST,1116
246,GREENWICH,GLYNDON,2201
247,GREENWICH,GREENWICH WEST,3202
248,GREENWICH,KIDBROOKE WITH HORNFAIR,1452
249,GREENWICH,MIDDLE PARK AND SUTCLIFFE,1679
250,GREENWICH,PENINSULA,3038
251,GREENWICH,PLUMSTEAD,2327
252,GREENWICH,SHOOTERS HILL,1411
253,GREENWICH,THAMESMEAD MOORINGS,2592
254,GREENWICH,WOOLWICH COMMON,3667
255,GREENWICH,WOOLWICH RIVERSIDE,4135
256,HACKNEY,BROWNSWOOD,1157
257,HACKNEY,CAZENOVE,1800
258,HACKNEY,CLISSOLD,2327
259,HACKNEY,DALSTON,1726
260,HACKNEY,DE BEAUVOIR,1603
261,HACKNEY,HACKNEY CENTRAL,3596
262,HACKNEY,HACKNEY DOWNS,2010
263,HACKNEY,HACKNEY WICK,2355
264,HACKNEY,HAGGERSTON,2321
265,HACKNEY,HOMERTON,3881
266,HACKNEY,HOXTON EAST & SHOREDITCH,4519
267,HACKNEY,HOXTON WEST,3189
268,HACKNEY,KING'S PARK,1744
269,HACKNEY,LEA BRIDGE,1566
270,HACKNEY,LONDON FIELDS,2304
271,HACKNEY,SHACKLEWELL,1418
272,HACKNEY,SPRINGFIELD,2850
273,HACKNEY,STAMFORD HILL WEST,1209
274,HACKNEY,STOKE NEWINGTON,1798
275,HACKNEY,VICTORIA,2154
276,HACKNEY,WOODBERRY DOWN,2912
277,HAMMERSMITH AND FULHAM,ADDISON,2032
278,HAMMERSMITH AND FULHAM,ASKEW,2198
279,HAMMERSMITH AND FULHAM,AVONMORE AND BROOK GREEN,2166
280,HAMMERSMITH AND FULHAM,COLLEGE PARK AND OLD OAK,2071
281,HAMMERSMITH AND FULHAM,FULHAM BROADWAY,2627
282,HAMMERSMITH AND FULHAM,FULHAM REACH,1517
283,HAMMERSMITH AND FULHAM,HAMMERSMITH BROADWAY,3773
284,HAMMERSMITH AND FULHAM,MUNSTER,1074
285,HAMMERSMITH AND FULHAM,NORTH END,1985
286,HAMMERSMITH AND FULHAM,PALACE RIVERSIDE,1737
287,HAMMERSMITH AND FULHAM,PARSONS GREEN AND WALHAM,1791
288,HAMMERSMITH AND FULHAM,RAVENSCOURT PARK,1970
289,HAMMERSMITH AND FULHAM,SANDS END,2590
290,HAMMERSMITH AND FULHAM,SHEPHERD'S BUSH GREEN,2644
291,HAMMERSMITH AND FULHAM,TOWN,1871
292,HAMMERSMITH AND FULHAM,WORMHOLT AND WHITE CITY,1890
293,HARINGEY,ALEXANDRA,864
294,HARINGEY,BOUNDS GREEN,1495
295,HARINGEY,BRUCE GROVE,1666
296,HARINGEY,CROUCH END,1424
297,HARINGEY,FORTIS GREEN,1241
298,HARINGEY,HARRINGAY,1501
299,HARINGEY,HIGHGATE,1082
300,HARINGEY,HORNSEY,1685
301,HARINGEY,MUSWELL HILL,1341
302,HARINGEY,NOEL PARK,2552
303,HARINGEY,NORTHUMBERLAND PARK,3190
304,HARINGEY,SEVEN SISTERS,2089
305,HARINGEY,ST. ANN'S,1384
306,HARINGEY,STROUD GREEN,1085
307,HARINGEY,TOTTENHAM GREEN,2995
308,HARINGEY,TOTTENHAM HALE,2318
309,HARINGEY,WEST GREEN,1788
310,HARINGEY,WHITE HART LANE,1504
311,HARINGEY,WOODSIDE,1600
312,HARROW,BELMONT,724
313,HARROW,CANONS,1756
314,HARROW,EDGWARE,988
315,HARROW,GREENHILL,2505
316,HARROW,HARROW ON THE HILL,1514
317,HARROW,HARROW WEALD,1507
318,HARROW,HATCH END,682
319,HARROW,HEADSTONE NORTH,631
320,HARROW,HEADSTONE SOUTH,830
321,HARROW,KENTON EAST,871
322,HARROW,KENTON WEST,565
323,HARROW,MARLBOROUGH,1181
324,HARROW,PINNER,904
325,HARROW,PINNER SOUTH,643
326,HARROW,QUEENSBURY,575
327,HARROW,RAYNERS LANE,554
328,HARROW,ROXBOURNE,1238
329,HARROW,ROXETH,826
330,HARROW,STANMORE PARK,1340
331,HARROW,WEALDSTONE,1155
332,HARROW,WEST HARROW,508
333,HAVERING,BROOKLANDS,2427
334,HAVERING,CRANHAM,786
335,HAVERING,ELM PARK,960
336,HAVERING,EMERSON PARK,710
337,HAVERING,GOOSHAYS,2268
338,HAVERING,HACTON,514
339,HAVERING,HAROLD WOOD,1563
340,HAVERING,HAVERING PARK,1017
341,HAVERING,HEATON,1489
342,HAVERING,HYLANDS,1049
343,HAVERING,MAWNEYS,874
344,HAVERING,PETTITS,937
345,HAVERING,RAINHAM AND WENNINGTON,1940
346,HAVERING,ROMFORD TOWN,3379
347,HAVERING,SOUTH HORNCHURCH,1830
348,HAVERING,SQUIRREL'S HEATH,1121
349,HAVERING,ST. ANDREW'S,1469
350,HAVERING,UPMINSTER,1204
351,HILLINGDON,BARNHILL,1126
352,HILLINGDON,BOTWELL,2432
353,HILLINGDON,BRUNEL,2132
354,HILLINGDON,CAVENDISH,658
355,HILLINGDON,CHARVILLE,890
356,HILLINGDON,EASTCOTE AND EAST RUISLIP,852
357,HILLINGDON,HAREFIELD,1356
358,HILLINGDON,HEATHROW VILLAGES,9350
359,HILLINGDON,HILLINGDON EAST,962
360,HILLINGDON,ICKENHAM,723
361,HILLINGDON,MANOR,722
362,HILLINGDON,NORTHWOOD,1610
363,HILLINGDON,NORTHWOOD HILLS,1050
364,HILLINGDON,PINKWELL,1557
365,HILLINGDON,SOUTH RUISLIP,1252
366,HILLINGDON,TOWNFIELD,2627
367,HILLINGDON,UXBRIDGE NORTH,1908
368,HILLINGDON,UXBRIDGE SOUTH,2016
369,HILLINGDON,WEST DRAYTON,1751
370,HILLINGDON,WEST RUISLIP,1278
371,HILLINGDON,YEADING,1367
372,HILLINGDON,YIEWSLEY,1819
373,HOUNSLOW,BEDFONT,1674
374,HOUNSLOW,BRENTFORD,2257
375,HOUNSLOW,CHISWICK HOMEFIELDS,1213
376,HOUNSLOW,CHISWICK RIVERSIDE,1380
377,HOUNSLOW,CRANFORD,1240
378,HOUNSLOW,FELTHAM NORTH,1442
379,HOUNSLOW,FELTHAM WEST,1947
380,HOUNSLOW,HANWORTH,1187
381,HOUNSLOW,HANWORTH PARK,1734
382,HOUNSLOW,HESTON CENTRAL,914
383,HOUNSLOW,HESTON EAST,933
384,HOUNSLOW,HESTON WEST,1576
385,HOUNSLOW,HOUNSLOW CENTRAL,2236
386,HOUNSLOW,HOUNSLOW HEATH,1341
387,HOUNSLOW,HOUNSLOW SOUTH,529
388,HOUNSLOW,HOUNSLOW WEST,1258
389,HOUNSLOW,ISLEWORTH,1298
390,HOUNSLOW,OSTERLEY AND SPRING GROVE,1847
391,HOUNSLOW,SYON,1883
392,HOUNSLOW,TURNHAM GREEN,2222
393,ISLINGTON,BARNSBURY,1789
394,ISLINGTON,BUNHILL,6360
395,ISLINGTON,CALEDONIAN,2571
396,ISLINGTON,CANONBURY,1519
397,ISLINGTON,CLERKENWELL,3719
398,ISLINGTON,FINSBURY PARK,2791
399,ISLINGTON,HIGHBURY EAST,1617
400,ISLINGTON,HIGHBURY WEST,2011
401,ISLINGTON,HILLRISE,1389
402,ISLINGTON,HOLLOWAY,2566
403,ISLINGTON,JUNCTION,2656
404,ISLINGTON,MILDMAY,1602
405,ISLINGTON,ST. GEORGE'S,1917
406,ISLINGTON,ST. MARY'S,2682
407,ISLINGTON,ST. PETER'S,2144
408,ISLINGTON,TOLLINGTON,1870
409,KENSINGTON AND CHELSEA,ABINGDON,1726
410,KENSINGTON AND CHELSEA,BROMPTON & HANS TOWN,4091
411,KENSINGTON AND CHELSEA,CAMPDEN,2019
412,KENSINGTON AND CHELSEA,CHELSEA RIVERSIDE,1994
413,KENSINGTON AND CHELSEA,COLVILLE,2377
414,KENSINGTON AND CHELSEA,COURTFIELD,2283
415,KENSINGTON AND CHELSEA,DALGARNO,1562
416,KENSINGTON AND CHELSEA,EARL'S COURT,2489
417,KENSINGTON AND CHELSEA,GOLBORNE,2206
418,KENSINGTON AND CHELSEA,HOLLAND,1460
419,KENSINGTON AND CHELSEA,NORLAND,1110
420,KENSINGTON AND CHELSEA,NOTTING DALE,2301
421,KENSINGTON AND CHELSEA,PEMBRIDGE,1349
422,KENSINGTON AND CHELSEA,QUEEN'S GATE,2003
423,KENSINGTON AND CHELSEA,REDCLIFFE,1760
424,KENSINGTON AND CHELSEA,ROYAL HOSPITAL,2698
425,KENSINGTON AND CHELSEA,ST. HELEN'S,1167
426,KENSINGTON AND CHELSEA,STANLEY,3333
427,KINGSTON UPON THAMES,ALEXANDRA,614
428,KINGSTON UPON THAMES,BERRYLANDS,976
429,KINGSTON UPON THAMES,BEVERLEY,1161
430,KINGSTON UPON THAMES,CANBURY,912
431,KINGSTON UPON THAMES,CHESSINGTON NORTH AND HOOK,716
432,KINGSTON UPON THAMES,CHESSINGTON SOUTH,831
433,KINGSTON UPON THAMES,COOMBE HILL,2107
434,KINGSTON UPON THAMES,COOMBE VALE,532
435,KINGSTON UPON THAMES,GROVE,3544
436,KINGSTON UPON THAMES,NORBITON,1194
437,KINGSTON UPON THAMES,OLD MALDEN,450
438,KINGSTON UPON THAMES,ST. JAMES,774
439,KINGSTON UPON THAMES,ST. MARK'S,1596
440,KINGSTON UPON THAMES,SURBITON HILL,857
441,KINGSTON UPON THAMES,TOLWORTH AND HOOK RISE,1340
442,KINGSTON UPON THAMES,TUDOR,627
443,LAMBETH,BISHOP'S,4153
444,LAMBETH,BRIXTON HILL,2459
445,LAMBETH,CLAPHAM COMMON,2250
446,LAMBETH,CLAPHAM TOWN,2485
447,LAMBETH,COLDHARBOUR,3446
448,LAMBETH,FERNDALE,2725
449,LAMBETH,GIPSY HILL,1808
450,LAMBETH,HERNE HILL,3050
451,LAMBETH,KNIGHT'S HILL,2144
452,LAMBETH,LARKHALL,2546
453,LAMBETH,OVAL,2994
454,LAMBETH,PRINCE'S,3927
455,LAMBETH,ST. LEONARD'S,1957
456,LAMBETH,STOCKWELL,2318
457,LAMBETH,STREATHAM HILL,1926
458,LAMBETH,STREATHAM SOUTH,1263
459,LAMBETH,STREATHAM WELLS,1963
460,LAMBETH,THORNTON,1900
461,LAMBETH,THURLOW PARK,1981
462,LAMBETH,TULSE HILL,2148
463,LAMBETH,VASSALL,2234
464,LEWISHAM,BELLINGHAM,2104
465,LEWISHAM,BLACKHEATH,1985
466,LEWISHAM,BROCKLEY,2732
467,LEWISHAM,CATFORD SOUTH,1196
468,LEWISHAM,CROFTON PARK,1645
469,LEWISHAM,DOWNHAM,1722
470,LEWISHAM,EVELYN,3691
471,LEWISHAM,FOREST HILL,2034
472,LEWISHAM,GROVE PARK,1700
473,LEWISHAM,LADYWELL,1307
474,LEWISHAM,LEE GREEN,1685
475,LEWISHAM,LEWISHAM CENTRAL,5621
476,LEWISHAM,NEW CROSS,3175
477,LEWISHAM,PERRY VALE,2199
478,LEWISHAM,RUSHEY GREEN,2754
479,LEWISHAM,SYDENHAM,2049
480,LEWISHAM,TELEGRAPH HILL,2250
481,LEWISHAM,WHITEFOOT,1650
482,MERTON,ABBEY,1625
483,MERTON,CANNON HILL,556
484,MERTON,COLLIERS WOOD,950
485,MERTON,CRICKET GREEN,1962
486,MERTON,DUNDONALD,745
487,MERTON,FIGGE'S MARSH,1448
488,MERTON,GRAVENEY,575
489,MERTON,HILLSIDE,1415
490,MERTON,LAVENDER FIELDS,921
491,MERTON,LONGTHORNTON,703
492,MERTON,LOWER MORDEN,427
493,MERTON,MERTON PARK,978
494,MERTON,POLLARDS HILL,1028
495,MERTON,RAVENSBURY,1006
496,MERTON,RAYNES PARK,988
497,MERTON,ST. HELIER,803
498,MERTON,TRINITY,1057
499,MERTON,VILLAGE,1227
500,MERTON,WEST BARNES,854
501,MERTON,WIMBLEDON PARK,1134
502,NEWHAM,BECKTON,3604
503,NEWHAM,BOLEYN,1784
504,NEWHAM,CANNING TOWN NORTH,3124
505,NEWHAM,CANNING TOWN SOUTH,2344
506,NEWHAM,CUSTOM HOUSE,2146
507,NEWHAM,EAST HAM CENTRAL,1889
508,NEWHAM,EAST HAM NORTH,1034
509,NEWHAM,EAST HAM SOUTH,1657
510,NEWHAM,FOREST GATE NORTH,1603
511,NEWHAM,FOREST GATE SOUTH,2304
512,NEWHAM,GREEN STREET EAST,1031
513,NEWHAM,GREEN STREET WEST,1245
514,NEWHAM,LITTLE ILFORD,1635
515,NEWHAM,MANOR PARK,1389
516,NEWHAM,PLAISTOW NORTH,1690
517,NEWHAM,PLAISTOW SOUTH,2198
518,NEWHAM,ROYAL DOCKS,2151
519,NEWHAM,STRATFORD AND NEW TOWN,4909
520,NEWHAM,WALL END,988
521,NEWHAM,WEST HAM,1927
522,REDBRIDGE,ALDBOROUGH,1283
523,REDBRIDGE,BARKINGSIDE,892
524,REDBRIDGE,BRIDGE,996
525,REDBRIDGE,CHADWELL,1103
526,REDBRIDGE,CHURCH END,805
527,REDBRIDGE,CHURCHFIELDS,384
528,REDBRIDGE,CLAYHALL,1207
529,REDBRIDGE,CLEMENTSWOOD,2007
530,REDBRIDGE,CRANBROOK,1125
531,REDBRIDGE,FAIRLOP,1069
532,REDBRIDGE,FULLWELL,1283
533,REDBRIDGE,GOODMAYES,1175
534,REDBRIDGE,HAINAULT,1328
535,REDBRIDGE,ILFORD TOWN,799
536,REDBRIDGE,LOXFORD,1896
537,REDBRIDGE,MAYFIELD,934
538,REDBRIDGE,MONKHAMS,1018
539,REDBRIDGE,NEWBURY,1201
540,REDBRIDGE,RODING,859
541,REDBRIDGE,SEVEN KINGS,2206
542,REDBRIDGE,SNARESBROOK,985
543,REDBRIDGE,SOUTH WOODFORD,275
544,REDBRIDGE,VALENTINES,1508
545,REDBRIDGE,WANSTEAD,837
546,REDBRIDGE,WANSTEAD PARK,287
547,REDBRIDGE,WANSTEAD VILLAGE,447
548,RICHMOND UPON THAMES,BARNES,956
549,RICHMOND UPON THAMES,EAST SHEEN,720
550,RICHMOND UPON THAMES,FULWELL AND HAMPTON HILL,751
551,RICHMOND UPON THAMES,"HAM, PETERSHAM AND RICHMOND RIVERSIDE",1370
552,RICHMOND UPON THAMES,HAMPTON,1039
553,RICHMOND UPON THAMES,HAMPTON NORTH,870
554,RICHMOND UPON THAMES,HAMPTON WICK,1087
555,RICHMOND UPON THAMES,HEATHFIELD,736
556,RICHMOND UPON THAMES,KEW,1046
557,RICHMOND UPON THAMES,MORTLAKE AND BARNES COMMON,1142
558,RICHMOND UPON THAMES,NORTH RICHMOND,1373
559,RICHMOND UPON THAMES,SOUTH RICHMOND,2246
560,RICHMOND UPON THAMES,SOUTH TWICKENHAM,970
561,RICHMOND UPON THAMES,ST. MARGARETS AND NORTH TWICKENHAM,842
562,RICHMOND UPON THAMES,TEDDINGTON,1204
563,RICHMOND UPON THAMES,TWICKENHAM RIVERSIDE,1359
564,RICHMOND UPON THAMES,WEST TWICKENHAM,879
565,RICHMOND UPON THAMES,WHITTON,644
566,SOUTHWARK,BOROUGH & BANKSIDE,1099
567,SOUTHWARK,BRUNSWICK PARK,1923
568,SOUTHWARK,CAMBERWELL GREEN,3566
569,SOUTHWARK,CATHEDRALS,4784
570,SOUTHWARK,CHAMPION HILL,322
571,SOUTHWARK,CHAUCER,2824
572,SOUTHWARK,COLLEGE,1168
573,SOUTHWARK,DULWICH HILL,210
574,SOUTHWARK,DULWICH VILLAGE,386
575,SOUTHWARK,DULWICH WOOD,364
576,SOUTHWARK,EAST DULWICH,962
577,SOUTHWARK,EAST WALWORTH,2156
578,SOUTHWARK,FARADAY,2865
579,SOUTHWARK,GOOSE GREEN,413
580,SOUTHWARK,GRANGE,2680
581,SOUTHWARK,LIVESEY,2479
582,SOUTHWARK,LONDON BRIDGE & WEST BERMONDSEY,1009
583,SOUTHWARK,NEWINGTON,2453
584,SOUTHWARK,NORTH BERMONDSEY,827
585,SOUTHWARK,NORTH WALWORTH,715
586,SOUTHWARK,NUNHEAD,1854
587,SOUTHWARK,NUNHEAD & QUEEN'S ROAD,632
588,SOUTHWARK,OLD KENT ROAD,1010
589,SOUTHWARK,PECKHAM,2317
590,SOUTHWARK,PECKHAM RYE,1347
591,SOUTHWARK,RIVERSIDE,2945
592,SOUTHWARK,ROTHERHITHE,2694
593,SOUTHWARK,RYE LANE,847
594,SOUTHWARK,SOUTH BERMONDSEY,2744
595,SOUTHWARK,SOUTH CAMBERWELL,1099
596,SOUTHWARK,ST. GEORGE'S,478
597,SOUTHWARK,ST. GILES,752
598,SOUTHWARK,SURREY DOCKS,1864
599,SOUTHWARK,THE LANE,2354
600,SOUTHWARK,VILLAGE,978
601,SUTTON,BEDDINGTON NORTH,1163
602,SUTTON,BEDDINGTON SOUTH,1021
603,SUTTON,BELMONT,1342
604,SUTTON,CARSHALTON CENTRAL,947
605,SUTTON,CARSHALTON SOUTH AND CLOCKHOUSE,730
606,SUTTON,CHEAM,834
607,SUTTON,NONSUCH,699
608,SUTTON,ST. HELIER,1501
609,SUTTON,STONECOT,805
610,SUTTON,SUTTON CENTRAL,2405
611,SUTTON,SUTTON NORTH,1153
