IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,FinalDescription,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode
97627091,08/06/2009 02:23,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST LAS WITH LARGE PATIENT,B2",E05000312,Harold Wood,E09000016,Havering,Harold Hill,RM3
104908091,19/06/2009 04:47,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,"ASSIST AMBULANCE WITH HEAVY PATIENT,B0",E05011486,Thornton Heath,E09000008,Croydon,Norbury,CR7
106744091,21/06/2009 16:54,2009,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,"ASSIST LAS WITH HEAVY PATIENT,B2",E05000379,St. Mary's,E09000019,Islington,Islington,N1
113465091,28/06/2009 18:11,2009,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,ASSIST LAS WITH HEAVY PATIENT,E05000306,Brooklands,E09000016,Havering,Romford,RM1
123144091,10/07/2009 20:22,2009,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05009387,Woodberry Down,E09000012,Hackney,Stoke Newington,N4
138317091,03/08/2009 17:09,2009,2009/10,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,TO ASSIST AMBULANCE CREW WITH LARGE PATIENT,E05000523,Heathfield,E09000027,Richmond upon Thames,Heston,TW2
146550091,16/08/2009 00:17,2009,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS TO REMOVE HEAVY PATIENT,E05009332,Shadwell,E09000030,Tower Hamlets,Shadwell,E1
157135091,31/08/2009 03:41,2009,2009/10,Special Service,3,6,260,1560,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH LARGE PATIENT,E05000303,Stanmore Park,E09000015,Harrow,Stanmore,HA7
158532091,01/09/2009 22:21,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000483,Forest Gate North,E09000025,Newham,Stratford,E7
169721091,18/09/2009 07:42,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS WITH HEAVY PATIENT,E05000214,Abbey Wood,E09000011,Greenwich,Plumstead,SE2
171238091,20/09/2009 11:01,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000404,Chessington North and Hook,E09000021,Kingston upon Thames,Surbiton,KT9
177075091,29/09/2009 03:57,2009,2009/10,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000321,South Hornchurch,E09000016,Havering,Wennington,RM13
179087091,02/10/2009 00:52,2009,2009/10,Special Service,1,2,260,520,Other road vehicle,Road Vehicle,1,Assist other agencies,Other assistance to police/ambulance,TO ASSIST AMBULANCE REMOVE HEAVY PATIENT FROM AMBULANCE,E05000490,Plaistow South,E09000025,Newham,Plaistow,E13
181402091,05/10/2009 12:38,2009,2009/10,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE CREW WITH HEAVY PATIENT,E05000037,Parsloes,E09000002,Barking and Dagenham,Dagenham,RM8
183449091,08/10/2009 18:06,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS TO LIFT HEAVY PATIENT,E05011220,Blackfen & Lamorbey,E09000004,Bexley,Sidcup,DA15
183749091,09/10/2009 03:37,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE TO MOVE HEAVY PATIENT,E05000028,Becontree,E09000002,Barking and Dagenham,Dagenham,RM8
194029091,25/10/2009 00:18,2009,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,TO ASSIST AMBULANCE AND POLICE TO REMOVE HEAVY PATIENT,E05011114,St. George's,E09000028,Southwark,Dowgate,SE1
200327091,04/11/2009 01:49,2009,2009/10,Special Service,1,1,260,260,Hospital ,Non Residential,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE TO LIFT HEAVY PATIENT,E05000270,Fortis Green,E09000014,Haringey,Hornsey,N10
205060091,11/11/2009 15:35,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000352,Feltham West,E09000018,Hounslow,Feltham,TW13
206420091,13/11/2009 22:27,2009,2009/10,Special Service,1,1,260,260,Hospital ,Non Residential,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE,E05000416,Bishop's,E09000022,Lambeth,Lambeth,SE1
223006091,13/12/2009 04:34,2009,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Other rescue/release of persons,Rescue/Release of person - Other action,ASSIST LAS WITH HEAVY PATIENT IN LIFE THREATENING CONDITION,E05000493,Wall End,E09000025,Newham,East Ham,E6
229927091,24/12/2009 15:29,2009,2009/10,Special Service,1,3,260,780,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS,E05011236,Bridge,E09000026,Redbridge,Woodford,IG8
233249091,31/12/2009 17:03,2009,2009/10,Special Service,1,1,260,260,Hospital ,Non Residential,1,Other rescue/release of persons,Rescue/Release of person - Other action,TO ASSIST HOSPITAL STAFF WITH OBESE PATIENT,E05000060,Underhill,E09000003,Barnet,Barnet,EN5
6259101,11/01/2010 08:21,2010,2009/10,Special Service,2,7,260,1820,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST POLICE AND LAS TO LIFT HEAVY PATIENT,E05000436,Vassall,E09000022,Lambeth,Brixton,SE5
7967101,14/01/2010 09:53,2010,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH OVERWEIGHT PATIENT,E05000352,Feltham West,E09000018,Hounslow,Feltham,TW13
8440101,15/01/2010 08:33,2010,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000489,Plaistow North,E09000025,Newham,Plaistow,E13
9311101,16/01/2010 20:43,2010,2009/10,Special Service,1,5,260,1300,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05011097,Champion Hill,E09000028,Southwark,Peckham,SE22
11582101,21/01/2010 02:25,2010,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST  LAS WITH HEAVY PATIENT,E05000492,Stratford and New Town,E09000025,Newham,Stratford,E15
13671101,24/01/2010 22:45,2010,2009/10,Special Service,1,1,260,260,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE,E05000123,Penge and Cator,E09000006,Bromley,Beckenham,SE20
28684101,23/02/2010 08:58,2010,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - From below ground ,ASSIST LAS WITH DIFFICULT REMOVAL OF HEAVY PATIENT,E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,Chelsea,SW10
29065101,23/02/2010 23:53,2010,2009/10,Special Service,1,1,260,260,Unlicensed House in Multiple Occupation - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH LIFTING OF HEAVY PATIENT,E05000432,Streatham Wells,E09000022,Lambeth,West Norwood,SW16
32265101,02/03/2010 03:23,2010,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,HEAVY PATIENT STUCK IN CHAIR,E05000060,Underhill,E09000003,Barnet,Barnet,EN5
33409101,04/03/2010 10:36,2010,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS,E05000277,St. Ann's,E09000014,Haringey,Tottenham,N15
35937101,08/03/2010 17:04,2010,2009/10,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To able bodied person not in distress,ASSIST LAS WITH HEAVY PATIENT,E05000264,Town,E09000013,Hammersmith and Fulham,Fulham,SW6
36331101,09/03/2010 14:08,2010,2009/10,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS CREW WITH HEAVY PATIENT THAT IS IN LIFE THREATENING CONDITION,E05000039,Thames,E09000002,Barking and Dagenham,Barking,IG11
37675101,11/03/2010 22:18,2010,2009/10,Special Service,1,1,260,260,College/University ,Non Residential,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000363,Osterley and Spring Grove,E09000018,Hounslow,Heston,TW7
40444101,16/03/2010 18:37,2010,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE WITH HEAVY PATIENT,E05000305,West Harrow,E09000015,Harrow,Harrow,HA1
41186101,18/03/2010 02:07,2010,2009/10,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,TO ASSIST AMBULANCE WITH REMOVAL OF HEAVY PATIENT,E05000424,Knight's Hill,E09000022,Lambeth,West Norwood,SE27
46558101,28/03/2010 11:15,2010,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05000405,Chessington South,E09000021,Kingston upon Thames,Surbiton,KT9
47460101,30/03/2010 04:42,2010,2009/10,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05011236,Bridge,E09000026,Redbridge,Woodford,IG8
47915101,31/03/2010 04:08,2010,2009/10,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS REMOVE HEAVY PATIENT,E05011104,London Bridge & West Bermondsey,E09000028,Southwark,Dockhead,SE1
50499101,05/04/2010 11:45,2010,2010/11,Special Service,1,3,260,780,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST AMBULANCE WITH REMOVAL OF HEAVY PATIENT,E05000404,Chessington North and Hook,E09000021,Kingston upon Thames,Surbiton,KT9
55869101,14/04/2010 12:05,2010,2010/11,Special Service,1,2,260,520,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSISTING LAS WITH REMOVAL OF HEAVY PATIENT,E05000092,Kensal Green,E09000005,Brent,Willesden,NW10
56294101,15/04/2010 06:30,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS TO REMOVE HEAVY PATIENT,E05000115,Cray Valley West,E09000006,Bromley,Orpington,BR5
58354101,18/04/2010 12:21,2010,2010/11,Special Service,4,19,260,4940,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,ASSIST LAS CREW WITH HEAVY PATIENT,E05000028,Becontree,E09000002,Barking and Dagenham,Dagenham,RM8
61224101,22/04/2010 22:39,2010,2010/11,Special Service,1,3,260,780,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE,E05000228,Thamesmead Moorings,E09000011,Greenwich,Plumstead,SE28
69559101,06/05/2010 09:11,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH REMOVAL,E05000355,Heston Central,E09000018,Hounslow,Heston,TW3
71898101,10/05/2010 12:04,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000437,Bellingham,E09000023,Lewisham,Forest Hill,SE6
74783101,15/05/2010 13:45,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT IN CONFINED SPACE,E05000101,Sudbury,E09000005,Brent,Wembley,HA0
74794101,15/05/2010 13:53,2010,2010/11,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST AMB  WITH HEAVY PATIENT,E05000346,Bedfont,E09000018,Hounslow,Feltham,TW14
79473101,23/05/2010 01:01,2010,2010/11,Special Service,2,3,260,780,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000213,Winchmore Hill,E09000010,Enfield,Southgate,N21
80481101,24/05/2010 12:16,2010,2010/11,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE CREW WITH HEAVY CARDIAC PATIENT,E05000251,Askew,E09000013,Hammersmith and Fulham,Chiswick,W12
89823101,08/06/2010 10:45,2010,2010/11,Special Service,1,4,260,1040,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS,E05000250,Addison,E09000013,Hammersmith and Fulham,Hammersmith,W14
94301101,16/06/2010 14:07,2010,2010/11,Special Service,1,3,260,780,Unlicensed House in Multiple Occupation - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05000363,Osterley and Spring Grove,E09000018,Hounslow,Heston,TW8
94488101,16/06/2010 19:00,2010,2010/11,Special Service,1,1,260,260,Hotel/motel ,Other Residential,1,Assist other agencies,Other assistance to police/ambulance,ASSIST WITH HEAVY PATIENT,E05009393,Courtfield,E09000020,Kensington and Chelsea,Chelsea,SW7
96993101,20/06/2010 21:24,2010,2010/11,Special Service,1,4,260,1040,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000057,Mill Hill,E09000003,Barnet,Finchley,NW7
104570101,01/07/2010 09:13,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS WITH HEAVY PATIENT,E05011471,New Addington South,E09000008,Croydon,Addington,CR0
110972101,08/07/2010 19:00,2010,2010/11,Special Service,1,1,260,260,Hospital ,Non Residential,1,Medical Incident,Medical incident - Lift person ,ASSIST WITH LIFTING OF HEAVY PATIENT,E05000448,Lewisham Central,E09000023,Lewisham,Lewisham,SE13
129457101,31/07/2010 13:11,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE TO REMOVAL HEAVY PATIENT,E05011465,Broad Green,E09000008,Croydon,Croydon,CR0
133325101,05/08/2010 12:58,2010,2010/11,Special Service,1,3,260,780,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE CREW WITH REMOVAL OF PATIENT,E05011482,Shirley North,E09000008,Croydon,Woodside,CR0
139849101,15/08/2010 21:10,2010,2010/11,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Breathing difficulties / Respiratory arrest ,ASSIST LAS WITH OVERWEIGHT PATIENT WITH BREATHING DIFFICULTIES,E05000214,Abbey Wood,E09000011,Greenwich,Plumstead,SE2
142036101,19/08/2010 16:22,2010,2010/11,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,ASSIST LAS WITH HEAVY PATIENT,E05000423,Herne Hill,E09000022,Lambeth,Brixton,SE5
154462101,09/09/2010 20:49,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS WITH HEAVY PATIENT,E05000112,Clock House,E09000006,Bromley,Woodside,SE20
154643101,10/09/2010 05:56,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE WITH HEAVY PATIENT,E05000482,East Ham South,E09000025,Newham,East Ham,E6
160265101,19/09/2010 22:01,2010,2010/11,Special Service,1,1,260,260,Restaurant/cafe,Non Residential,1,Medical Incident,Medical incident - Lift person ,ASSIST LIFT ENGINEER  WITH HEAVY DISABLED PERSON,E05000649,West End,E09000033,Westminster,Soho,W1B
163984101,25/09/2010 22:19,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT,E05000251,Askew,E09000013,Hammersmith and Fulham,Chiswick,W12
165709101,29/09/2010 07:27,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,TO ASSIST LAS WITH HEAVY PATIENT,E05000283,White Hart Lane,E09000014,Haringey,Tottenham,N17
165925101,29/09/2010 15:54,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE WITH HEAVY PATIENT,E05000283,White Hart Lane,E09000014,Haringey,Tottenham,N17
166289101,30/09/2010 08:05,2010,2010/11,Special Service,2,3,260,780,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE TO MOVE HEAVY PATIENT,E05000036,Mayesbrook,E09000002,Barking and Dagenham,Barking,RM9
170258101,06/10/2010 17:51,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE WITH HEAVY PATIENT,E05000609,Wood Street,E09000031,Waltham Forest,Walthamstow,E17
173986101,13/10/2010 06:17,2010,2010/11,Special Service,1,4,260,1040,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE WITH HEAVY PATIENT,E05009370,Dalston,E09000012,Hackney,Homerton,E8
174817101,14/10/2010 16:08,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT,E05009370,Dalston,E09000012,Hackney,Homerton,E8
181344101,25/10/2010 17:52,2010,2010/11,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Chest Pain / Cardiac Arrest / Heart condition ,ASSIST LAS TO MOVE HEAVY PATIENT,E05000220,Eltham West,E09000011,Greenwich,Lee Green,SE9
186483101,03/11/2010 18:35,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Collapse ,ASSIST WITH HEAVY PATIENT,E05000220,Eltham West,E09000011,Greenwich,Lee Green,SE9
196549101,21/11/2010 02:01,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,TO ASSIST AMBULANCE WITH REMOVAL OF HEAVY PATIENT,E05000429,Stockwell,E09000022,Lambeth,Brixton,SW8
204791101,05/12/2010 00:17,2010,2010/11,Special Service,2,3,260,780,Nursing/Care Home/Hospice,Other Residential,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05011234,Aldborough,E09000026,Redbridge,Ilford,IG2
207763101,10/12/2010 10:24,2010,2010/11,Special Service,1,1,260,260,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS WITH HEAVY PATIENT,E05000615,Furzedown,E09000032,Wandsworth,Tooting,SW16
210523101,15/12/2010 11:57,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE TO LIFT PATIENT,E05009392,Colville,E09000020,Kensington and Chelsea,North Kensington,W11
212430101,18/12/2010 16:56,2010,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT,E05000440,Catford South,E09000023,Lewisham,Lee Green,SE6
216607101,25/12/2010 12:43,2010,2010/11,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05009399,Notting Dale,E09000020,Kensington and Chelsea,North Kensington,W11
216763101,25/12/2010 18:17,2010,2010/11,Special Service,1,3,260,780,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - From height,ASSIST AMBULANCE WITH HEAVY PATIENT,E05000341,Uxbridge South,E09000017,Hillingdon,Hillingdon,UB8
1162111,03/01/2011 09:20,2011,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH LARGE PATIENT,E05000277,St. Ann's,E09000014,Haringey,Tottenham,N15
4228111,09/01/2011 20:11,2011,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMBULANCE TO REMOVE HEAVY PATIENT,E05000608,William Morris,E09000031,Waltham Forest,Walthamstow,E17
9113111,19/01/2011 11:36,2011,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMB REMOVE  HEAVY PATIENT,E05000098,Queens Park,E09000005,Brent,North Kensington,NW10
10849111,22/01/2011 18:45,2011,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS WITH HEAVY PATIENT,E05000100,Stonebridge,E09000005,Brent,Park Royal,NW10
14544111,30/01/2011 04:18,2011,2010/11,Special Service,1,1,260,260,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,TO ASSIST LAS WITH HEAVY PATIENT,E05000617,Latchmere,E09000032,Wandsworth,Battersea,SW11
17480111,04/02/2011 15:23,2011,2010/11,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST AMB WITH HEAVY PATIENT,E05000207,Southbury,E09000010,Enfield,Enfield,EN1
